label,id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,time_interval,same_id_time_interval
BENIGN,2025,2,1,244,85,85,85,85,85,0,0
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.002933,0
BENIGN,2017,2,1,73,85,85,85,85,85,0.017164,0.017164
BENIGN,2021,2,1,246,85,85,85,85,85,0.0019839999999999997,0.0019839999999999997
BENIGN,2016,0,65,73,201,0,-1,-1,-1,0.00018299999999999914,0.00018299999999999914
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0017630000000000007,0.0017630000000000007
BENIGN,2023,2,1,245,85,85,85,85,85,0.001013,0.001013
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0018719999999999987,0.0018719999999999987
BENIGN,2017,2,1,73,85,85,85,85,85,0.019219,0.019219
BENIGN,2016,0,65,73,200,0,-1,-1,-1,0.0010000000000000009,0.0010000000000000009
BENIGN,2021,2,1,246,85,85,85,85,85,0.0009190000000000031,0.0009190000000000031
BENIGN,2019,2,1,17,85,85,85,85,85,0.002003999999999999,0.002003999999999999
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.00017099999999999754,0.00017099999999999754
BENIGN,2018,0,65,17,200,-1,-1,-1,-1,0.0017590000000000036,0.0017590000000000036
BENIGN,2017,2,1,73,85,85,85,85,85,0.020139000000000004,0.020139000000000004
BENIGN,2016,0,65,73,199,0,-1,-1,-1,0.0019430000000000003,0.0019430000000000003
BENIGN,2021,2,1,246,85,85,85,85,85,0.0002319999999999961,0.0002319999999999961
BENIGN,2019,2,1,13,85,85,85,85,85,0.0017210000000000003,0.0017210000000000003
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.00015799999999999148,0.00015799999999999148
BENIGN,2018,0,65,13,199,-1,-1,-1,-1,0.0017670000000000047,0.0017670000000000047
BENIGN,2017,2,1,73,85,85,85,85,85,0.020064,0.020064
BENIGN,2016,0,65,73,197,0,-1,-1,-1,0.0009770000000000056,0.0009770000000000056
BENIGN,2021,2,1,246,85,85,85,85,85,0.0010459999999999914,0.0010459999999999914
BENIGN,2025,2,1,244,85,85,85,85,85,0.0009490000000000054,0.0009490000000000054
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0009590000000000015,0.0009590000000000015
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0011749999999999955,0.0011749999999999955
BENIGN,2017,2,1,73,85,85,85,85,85,0.020828,0.020828
BENIGN,2023,2,1,245,85,85,85,85,85,0.002021999999999996,0.002021999999999996
BENIGN,2016,0,65,73,196,0,-1,-1,-1,0.00018899999999999473,0.00018899999999999473
